id,cliente_id,cierre_caja_id,numero_pedido,fecha_pedido,hora_entrega,estado,total,origen_pedido,notas,mes,mes_nombre,dia_semana,semana,semana_anio,es_fin_semana,trimestre,es_fecha_especial,es_cancelado,es_entregado,hora_entrega_num,monto_pagado,n_pagos,metodo_pago_prin,estado_pago_fin,riesgo_cobro,es_pago_digital,n_items,n_productos_dist,subtotal_det,canal_cliente,tipo_cliente,antiguedad_cliente,diferencia_pago,ticket_por_item,total_norm,monto_pagado_norm,diferencia_pago_norm,ticket_por_item_norm,n_items_norm,n_productos_dist_norm,hora_entrega_num_norm,antiguedad_cliente_norm,subtotal_det_norm,estado_cod,origen_cod,metodo_pago_cod,estado_pago_cod,tipo_cliente_cod,canal_cliente_cod
1,24,1,PED-20240101-001,2025-01-01,10:30:00,entregado,78000,whatsapp,Decorar la caja,1,Jan,2,1,1,0,1,0,0,1,10,78000.0,1,transferencia,confirmado,0.0,1.0,3,1,78000,whatsapp,empresa,364,0.0,26000.0,0.488525,0.5,0.0,0.463918,0.2,0.0,0.75,1.0,0.488525,2,2,4,0,0,2
2,17,1,PED-20240101-002,2025-01-01,08:30:00,entregado,78000,whatsapp,Decorar la caja,1,Jan,2,1,1,0,1,0,0,1,8,78000.0,1,nequi,confirmado,0.0,1.0,3,1,78000,whatsapp,individual,338,0.0,26000.0,0.488525,0.5,0.0,0.463918,0.2,0.0,0.25,0.071429,0.488525,2,2,3,0,1,2
3,1,2,PED-20240102-003,2025-01-02,07:00:00,cancelado,84000,whatsapp,,1,Jan,3,1,1,0,1,0,1,0,7,0.0,0,desconocido,sin_pago,0.0,0.0,3,1,84000,whatsapp,individual,360,84000.0,28000.0,0.527869,0.0,0.7,0.505155,0.2,0.0,0.0,0.857143,0.527869,0,2,1,3,1,2
4,19,2,PED-20240102-004,2025-01-02,10:30:00,entregado,28000,whatsapp,Pago contra entrega,1,Jan,3,1,1,0,1,0,0,1,10,28000.0,1,transferencia,pendiente,1.0,1.0,1,1,28000,whatsapp,individual,337,0.0,28000.0,0.160656,0.179487,0.0,0.505155,0.0,0.0,0.75,0.035714,0.160656,2,2,4,1,1,2
5,14,2,PED-20240102-005,2025-01-02,09:30:00,entregado,78000,whatsapp,Llamar antes,1,Jan,3,1,1,0,1,0,0,1,9,78000.0,1,daviplata,confirmado,0.0,1.0,3,1,78000,whatsapp,individual,359,0.0,26000.0,0.488525,0.5,0.0,0.463918,0.2,0.0,0.5,0.821429,0.488525,2,2,0,0,1,2
6,6,3,PED-20240103-006,2025-01-03,10:00:00,entregado,33000,whatsapp,Entregar en portería,1,Jan,4,1,1,0,1,0,0,1,10,33000.0,1,nequi,confirmado,0.0,1.0,1,1,33000,presencial,individual,358,0.0,33000.0,0.193443,0.211538,0.0,0.608247,0.0,0.0,0.75,0.785714,0.193443,2,2,3,0,1,1
7,9,3,PED-20240103-007,2025-01-03,10:30:00,entregado,70000,whatsapp,Pago contra entrega,1,Jan,4,1,1,0,1,0,0,1,10,70000.0,1,efectivo,confirmado,0.0,0.0,2,1,70000,whatsapp,individual,349,0.0,35000.0,0.436066,0.448718,0.0,0.649485,0.1,0.0,0.75,0.464286,0.436066,2,2,2,0,1,2
8,25,3,PED-20240103-008,2025-01-03,07:30:00,entregado,39500,whatsapp,Llamar antes,1,Jan,4,1,1,0,1,0,0,1,7,39500.0,1,nequi,confirmado,0.0,1.0,2,2,39500,whatsapp,empresa,343,0.0,19750.0,0.236066,0.253205,0.0,0.335052,0.1,0.333333,0.0,0.25,0.236066,2,2,3,0,0,2
9,6,4,PED-20240104-009,2025-01-04,11:00:00,entregado,34500,whatsapp,Entregar en portería,1,Jan,5,1,1,1,1,0,0,1,11,34500.0,1,transferencia,confirmado,0.0,1.0,4,2,34500,presencial,individual,358,0.0,8625.0,0.203279,0.221154,0.0,0.10567,0.3,0.333333,1.0,0.785714,0.203279,2,2,4,0,1,1
10,20,4,PED-20240104-010,2025-01-04,09:00:00,entregado,46000,whatsapp,Para regalo,1,Jan,5,1,1,1,1,0,0,1,9,46000.0,1,transferencia,confirmado,0.0,1.0,3,2,46000,whatsapp,individual,340,0.0,15333.33,0.278689,0.294872,0.0,0.243986,0.2,0.333333,0.5,0.142857,0.278689,2,2,4,0,1,2
11,24,4,PED-20240104-011,2025-01-04,07:00:00,entregado,9000,whatsapp,,1,Jan,5,1,1,1,1,0,0,1,7,9000.0,1,daviplata,confirmado,0.0,1.0,1,1,9000,whatsapp,empresa,364,0.0,9000.0,0.036066,0.057692,0.0,0.113402,0.0,0.0,0.0,1.0,0.036066,2,2,0,0,0,2
12,1,5,PED-20240105-012,2025-01-05,07:30:00,entregado,66000,whatsapp,Con tarjeta feliz cumpleaños,1,Jan,6,1,1,1,1,0,0,1,7,66000.0,1,efectivo,confirmado,0.0,0.0,2,1,66000,whatsapp,individual,360,0.0,33000.0,0.409836,0.423077,0.0,0.608247,0.1,0.0,0.0,0.857143,0.409836,2,2,2,0,1,2
13,11,5,PED-20240105-013,2025-01-05,07:30:00,entregado,43000,whatsapp,Con tarjeta feliz cumpleaños,1,Jan,6,1,1,1,1,0,0,1,7,43000.0,1,daviplata,confirmado,0.0,1.0,5,2,43000,whatsapp,individual,336,0.0,8600.0,0.259016,0.275641,0.0,0.105155,0.4,0.333333,0.0,0.0,0.259016,2,2,0,0,1,2
14,2,6,PED-20240106-014,2025-01-06,08:00:00,entregado,35000,whatsapp,Decorar la caja,1,Jan,0,2,2,0,1,0,0,1,8,35000.0,1,transferencia,pendiente,1.0,1.0,1,1,35000,otro,individual,362,0.0,35000.0,0.206557,0.224359,0.0,0.649485,0.0,0.0,0.25,0.928571,0.206557,2,2,4,1,1,0
15,9,6,PED-20240106-015,2025-01-06,08:00:00,entregado,33000,whatsapp,,1,Jan,0,2,2,0,1,0,0,1,8,33000.0,1,transferencia,confirmado,0.0,1.0,1,1,33000,whatsapp,individual,349,0.0,33000.0,0.193443,0.211538,0.0,0.608247,0.0,0.0,0.25,0.464286,0.193443,2,2,4,0,1,2
16,20,6,PED-20240106-016,2025-01-06,08:30:00,entregado,24000,whatsapp,Llamar antes,1,Jan,0,2,2,0,1,0,0,1,8,24000.0,1,transferencia,pendiente,1.0,1.0,3,1,24000,whatsapp,individual,340,0.0,8000.0,0.134426,0.153846,0.0,0.092784,0.2,0.0,0.25,0.142857,0.134426,2,2,4,1,1,2
